Date,shares_outstanding
2026-03-04,291500000.0
2026-03-05,290500000.0
2026-03-06,281700000.0
2026-03-09,277200000.0
2026-03-10,275000000.0
2026-03-11,272700000.0
2026-03-12,281700000.0
2026-03-13,292100000.0
2026-03-16,295100000.0
2026-03-17,291500000.0
2026-03-18,296600000.0
2026-03-19,299500000.0
2026-03-20,298500000.0
2026-03-23,288100000.0
2026-03-24,284200000.0
2026-03-25,279700000.0
2026-03-26,276000000.0
2026-03-27,276500000.0
2026-03-30,271400000.0
2026-03-31,271400000.0
2026-04-01,265300000.0
2026-04-02,272600000.0
2026-04-03,282900000.0
2026-04-06,282900000.0
2026-04-07,281500000.0
2026-04-08,282700000.0
2026-04-09,281300000.0
2026-04-10,284300000.0
2026-04-13,292500000.0
2026-04-14,297800000.0
2026-04-15,299100000.0
2026-04-16,302100000.0
2026-04-17,301700000.0
2026-04-20,304700000.0
2026-04-21,307000000.0
2026-04-22,308300000.0
2026-04-23,310900000.0
2026-04-24,293700000.0
2026-04-27,291600000.0
2026-04-28,279000000.0
2026-04-29,281000000.0
2026-04-30,283400000.0
2026-05-01,284200000.0
2026-05-04,289200000.0
2026-05-05,281000000.0
2026-05-06,276100000.0
2026-05-07,271900000.0
2026-05-08,269100000.0
2026-05-11,271000000.0
